KEY,en_US,en_GB,de_DE,es_ES,es_MX,fr_CA,fr_FR,lt_LT,nl_NL,pl_PL,pt_BR
about.button.licenses,Licenses,Licenses,Lizenzen,Licencias,Licencias,Licences,Licences,Licencijos,Licenties,Licencje,Licenças
about.button.report,Report an issue,Report an issue,Problem melden,Notifique un problema,Informar un problema,Signaler un problème,Signaler un problème,Pranešti apie problemą,Meld een probleem,Zgłoś problem,Relatar um problema
about.email.error,Error while sending Email,Error while sending Email,Fehler beim Versenden der E-Mail,El correo electrónico no está configurado para este teléfono,Se produjo un error en el envío del correo electrónico,Erreur lors de l’envoi de l’e-mail,Erreur lors de l'envoi de l'e-mail,Klaida siunčiant el. laišką,Fout bij verzenden e-mail,Błąd podczas wysyłania e-maila,Erro ao enviar e-mail
about.email.not_available,Email is not setup in this phone.,Email is not setup in this phone,In diesem Telefon ist keine E-Mail eingerichtet.,El correo electrónico no está configurado en este teléfono,El correo electrónico no está configurado en este teléfono,L’e-mail n’est pas configuré sur ce téléphone,L'e-mail n'est pas configuré sur ce téléphone,Šiame telefone el. paštas nenustatytas,E-mail is niet ingesteld op deze telefoon,Adres e-mail nie jest skonfigurowany w tym telefonie,O e-mail não está configurado neste telefone
about.label.app_version,App version,App version,App-Version,Versión de la aplicación,Versión de la aplicación,Version de l’application,Version de l'application,Programos versija,App-versie,Wersja aplikacji,Versão do aplicativo
about.label.branch,Branch,Branch,Zweigstelle,Sucursal,Sucursal,Succursale,Succursale,Filialas,Branche,Oddział,Filial
about.label.build_date,Build date,Build date,Build-Datum,Fecha de la compilación,Fecha de compilación,Date de la version,Date de version,Sukūrimo data,Builddatum,Data wersji,Data da compilação
about.label.build_version,Build version,Build version,Build-Version,Versión de la compilación,Versión de desarrollo,Version,Numéro de version,Parengiamoji versija,Build-versie,Wersja,Versão da compilação
about.label.copyright,© Zebra Technologies Corp 2023,© Zebra Technologies Corp 2023,© Zebra Technologies Corp 2023,© Zebra Technologies Corp 2023,© Zebra Technologies Corp 2023,"© Zebra Technologies Corp., 2023",© Zebra Technologies Corp 2023,"© „Zebra Technologies“, 2023",© Zebra Technologies Corp 2023,© Zebra Technologies Corp 2023,© Zebra Technologies Corp 2023
about.label.helpline,Please contact your manager or your organization's support helpline for any help or guidance.,Please contact your manager or your organisation's support helpline for any help or guidance.,"Bitte wenden Sie sich an Ihren Manager oder die Support-Hotline Ihrer Organisation, um Hilfe oder Anleitung zu erhalten.",Póngase en contacto con su responsable o con la línea de ayuda de su organización para obtener ayuda u orientación.,Comuníquese con su gerente o con la línea de ayuda de soporte de su organización para obtener ayuda u orientación.,Veuillez communiquer avec votre gérant ou avec la ligne d’assistance de votre organisation pour obtenir de l’aide ou des conseils.,Contactez votre gestionnaire ou la ligne d'assistance de votre organisation pour obtenir de l'aide ou des conseils.,Dėl pagalbos ar patarimų kreipkitės į savo vadovą arba organizacijos pagalbos liniją.,Neem contact op met uw manager of de ondersteuningshulplijn van uw organisatie voor hulp of begeleiding.,W celu uzyskania pomocy lub wskazówek skontaktuj się ze swoim kierownikiem lub infolinią wsparcia organizacji.,Entre em contato com o seu gerente ou com o suporte da sua organização para obter ajuda ou orientação.
about.log.detail.semantic.label,logs detail,logs detail,Protokolldetails,detalles del registro,detalle de los registros,détails des registres,détails des journaux,žurnalo duomenys,Logdetails,szczegóły dzienników,detalhe dos registros
about.log.j.session.label,jsession id detail,jsession id detail,Detail Jsession-ID,detalle de id de sesión de tarea,Detalle de ID de jsession,Détail de l’identifiant de la session,détails de l'id jsession,Seanso ID informacija,jsession id detail,Szczegóły identyfikatora jsession,detalhe do ID da sessão
about.logs.j_session_name,Workcloud Scheduling,Workcloud Scheduling,Workcloud-Einsatzplanung,Programación de Workcloud,Programación de nube de trabajo,Planification WorkCloud,Planification de Workcloud,Darbinio debesies planavimas,Workcloud Scheduling,Planowanie w Workcloud,Agendamento do Workcloud
about.logs.kernel_session_name,Kernel,Kernel,Kernel,Núcleo,Kernel,Noyau,Noyau,Branduolys,Kernel,Jądro,Kernel
about.report.build.debug,Debug,Debug,Debug,Depurar,Depurar,Débogage,Débogage,Derinti,Foutopsporing,Diagnostyka,Depurar
about.report.build.profile,Profile,Profile,Profil,Perfil,Perfil,Profil,Profil,Profilis,Profiel,Profil,Perfil
about.report.build.release,Release,Release,Freigabe,Liberar,Versión,Publication,Publication,Išleisti,Vrijgave,Przekaż,Lançamento
about.report.email.body.api,API,API,API,API,API,API,API,API,API,API,API
about.report.email.body.app_name,App Name,App Name,App-Name,Nombre de la aplicación,Nombre de la aplicación,Nom de l’application,Nom de l'application,Programos pavadinimas,Naam app,Nazwa aplikacji,Nome do aplicativo
about.report.email.body.build_date,Build Date,Build Date,Erstellungsdatum,Fecha de la compilación,Fecha de compilación,Date de la version,Date de la version,Sukūrimo data,Builddatum,Data wersji,Data da compilação
about.report.email.body.build_number,Build Number,Build Number,Build-Nummer,Número de compilación,Número de compilación,Numéro de version,Numéro de version,Parengiamosios versijos numeris,Buildnummer,Numer wersji,Número da compilação
about.report.email.body.description_1,Attached is the console log generated from Workcloud ESS mobile app.,Attached is the console log generated from Workcloud ESS mobile app.,Im Anhang finden Sie das über die mobile App Workcloud ESS generierte Protokoll der Konsole.,Se adjunta el registro de la consola generado por la aplicación móvil Workcloud ESS.,Adjunto el registro de la consola generado a partir de la aplicación móvil de la nube de trabajo ESS.,Vous trouverez ci-joint le journal de la console généré à partir de l’application mobile WorkCloud ESS.,Vous trouverez ci-joint le journal de la console généré à partir de l'application mobile Workcloud ESS.,"Pridedamas valdymo pulto žurnalas, sugeneruotas iš darbinio debesies ESS mobiliosios programos.",Het consolelogboek dat is gegenereerd vanuit de mobiele Workcloud ESS-app is bijgevoegd.,W załączeniu znajduje się dziennik konsoli wygenerowany z aplikacji mobilnej Workcloud ESS.,Em anexo está o registro do console gerado pelo aplicativo móvel Workcloud ESS.
about.report.email.body.description_2,Below are the device and application details:,Below are the device and application details:,Nachfolgend die Geräte- und Anwendungsdetails:,A continuación se muestran los detalles del dispositivo y la aplicación:,"A continuación, se muestran los detalles del dispositivo y de la aplicación:",Vous trouverez ci-dessous les détails de l’appareil et de l’application :,Retrouvez ci-dessous les renseignements sur l'appareil et l'application :,Toliau pateikiama informacija apie įrenginį ir programą:,Hieronder staan de apparaat- en appdetails:,Poniżej znajdują się szczegóły urządzenia i aplikacji:,Abaixo estão os detalhes do dispositivo e do aplicativo:
about.report.email.body.device,Device,Device,Gerät,Dispositivo,Dispositivo,Appareil,Appareil,Įrenginys,Apparaat,Urządzenie,Dispositivo
about.report.email.body.domain,Domain,Domain,Domäne,Dominio,Dominio,Domaine,Domaine,Domenas,Domein,Domena,Domínio
about.report.email.body.server_url,Server Url,Server Url,Server-URL,URL del servidor,URL del servidor,URL du serveur,URL du serveur,Serverio URL,Url server,Adres URL serwera,URL do servidor
about.report.email.body.thank_you,Thank You.,Thank You.,Danke.,Gracias.,Gracias.,Merci.,Merci.,Ačiū.,Bedankt.,Dziękujemy.,Agradecemos.
about.report.email.body.to_name,"Dear Administrator,","Dear Administrator,","Sehr geehrter Administrator,",Estimado/a administrador/a:,Estimado administrador:,"À l’attention de l’administrateur,","Cher administrateur,","Gerb. Administratoriau,","Geachte beheerder,",Szanowny Administratorze!,"Prezado administrador,"
about.report.email.body.version_name,Version Name,Version Name,Versionsname,Nombre de la versión,Nombre de la versión,Nom de la version,Nom de la version,Versijos pavadinimas,Versienaam,Nazwa wersji,Nome da versão
about.report.email.subject.logs,logs,logs,Protokolle,registros,registros,registres,journaux,žurnalai,logboeken,dzienniki,registros
about.report.platform.android,Android,Android,Android,Android,Android,Android,Android,„Android“,Android,Android,Android
about.report.platform.ios,IOS,IOS,IOS,iOS,IOS,IOS,IOS,IOS,iOS,IOS,IOS
about.title.about_us,About,About,Info,Acerca de,Acerca de,À propos,À propos,Apie,Info,Informacje,Sobre
about.title.text,Workcloud ESS,Workcloud ESS,Workcloud ESS,Workcloud ESS,ESS de nube de trabajo,WorkCloud ESS,Workcloud ESS,Darbinio debesies ESS,Workcloud ESS,Workcloud ESS,Workcloud ESS
absence_calendar.filter.all,All,All,Alle,Todo,Todo,Tous,Tout,Visi,Alle,Wszystkie,Todos
absence_calendar.filter.approved,Approved,Approved,Genehmigt,Aprobado,Aprobado,Approuvé,Approuvé(e),Patvirtinta,Goedgekeurd,Zatwierdzone,Aprovado
absence_calendar.filter.black_out,Black Out,Black Out,Schließtag,Cierre,Interrupción,Interdiction,Coupure,Didelis užimtumas,Blackout,Blokada,Bloqueado
absence_calendar.filter.cancelled,Cancelled,Cancelled,Abgebrochen,Cancelado,Cancelado,Annulé,Annulé(e),Atšaukta,Geannuleerd,Anulowane,Cancelado
absence_calendar.filter.day_off,Day Off,Day Off,Urlaubstag,Día libre,Día libre,Congé,Jour de congé,Laisva diena,Vrije dag,Dzień wolny,Dia de folga
absence_calendar.filter.declined,Declined,Declined,Abgelehnt,Rechazado,Rechazado,Refusé,Refusé(e),Atmesta,Geweigerd,Odrzucone,Recusado
absence_calendar.filter.department,Department,Department,Abteilung,Departamento,Departamento,Service,Département,Skyrius,Afdeling,Dział,Departamento
absence_calendar.filter.deselect_all,Deselect All,Deselect All,Gesamte Auswahl aufheben,Cancelar la selección de todos,Anular toda la selección,Tout désélectionner,Tout déselectionner,Atžymėti viską,Alles deselecteren,Odznacz wszystko,Desmarcar tudo
absence_calendar.filter.status,Status,Status,Status,Estado,Estado,État,Statut,Būsena,Status,Stan,Status
