KEY,en_US,en_GB,de_DE,es_ES,es_MX,fr_CA,fr_FR,lt_LT,nl_NL,pl_PL,pt_BR
1000000000001,Open navigation drawer,Open navigation drawer,Navigationsleiste öffnen,Abrir cuadro de navegación,Abra el espacio de navegación.,Ouvrir le tiroir de navigation,Ouvrir le tiroir de navigation,Atidaryti naršymo stalčių,Open navigatielade,Otwórz menu nawigacji,Abra a aba de navegação
1000000000002,Zebra,Zebra,Zebra,Zebra,Zebra,Zebra,Zebra,Zebra,Zebra,Zebra,Zebra
1000000000003,Loading...,Loading...,Wird geladen...,Cargando...,Cargando...,Chargement en cours…,Chargement...,Įkeliama...,Laden...,Ładowanie…,Carregando...
1000000000004,Please Wait...,Please Wait...,Bitte warten...,Espere...,Espere...,Veuillez patienter...,Veuillez patienter...,Palaukite...,Een ogenblik geduld...,Proszę czekać…,Aguarde...
1000000000005,Schedule,Schedule,Einsatzplan,Horario,Programa,Horaire,Planning,Tvarkaraštis,Planning,Grafik,Agendar
1000000000006,Store Schedule,Store Schedule,Standort-Einsatzplan,Horario de tienda,Programa de la tienda,Horaire du magasin,Planning du magasin,Parduotuvės tvarkaraštis,Locatieplanning,Grafik stacji,Programação da loja
1000000000007,Requests,Requests,Anfragen,Solicitudes,Solicitudes,Demandes,Demandes,Prašymai,Aanvragen,Wnioski,Solicitações
1000000000008,Forecast,Forecast,Prognose,Previsión,Previsión,Prévision,Prévision,Prognozė,Prognose,Prognoza,Previsão
1000000000009,Workload,Workload,Arbeitsbelastung,Carga de trabajo,Carga de trabajo,Charge de travail,Charge de travail,Darbo krūvis,Arbeidsbehoefte,Obciążenie pracą,Carga de trabalho
1000000000010,Team Members,Team Members,Teammitglieder,Miembros del equipo,Miembros del equipo,Membres de l’équipe,Membres d'équipe,Komandos nariai,Teamleden,Członkowie zespołu,Membros da equipe
1000000000011,New Hire,New Hire,Neueinstellung,Nueva contratación,Nueva contratación,Nouvel employé,Nouvelle embauche,Naujas darbuotojas,Nieuwe medewerker,Nowy pracownik,Nova contratação
1000000000012,Upcoming,Upcoming,Planungsvorbereitung,Próximo,Próximo,À venir,À venir,Būsimas,Aankomende,Nadchodzące,Em breve
1000000000013,Associate Roster,Associate Roster,Mitarbeiterübersicht für Mitarbeiter,Listado de empleados de asociados,Lista de asociados,Liste des employés,Liste des employés du collaborateur,Bendradarbių sąrašas,Rooster medewerker,Spis pracowników,Escala dos associados
1000000000014,Timecard,Timecard,Stempelkarte,Hoja de horas,Tarjeta de registro,Fiche de présence,Feuille de présence,Darbo laiko apskaitos kortelė,Tijdkaart,Karta czasu pracy,Cartão de ponto
1000000000015,Fixed Shifts,Fixed Shifts,Feste Schichten,Turnos fijos,Turnos fijos,Quarts fixes,Créneaux fixes,Fiksuotos pamainos,Vaste diensten,Stałe zmiany,Turnos fixos
1000000000016,Reports,Reports,Berichte,Informes,Informes,Rapports,Rapports,Ataskaitos,Rapporten,Raporty,Relatórios
1000000000017,Change Unit,Change Unit,Einheit wechseln,Cambiar unidad,Cambiar unidad,Changer l’unité,Changer d'unité,Keisti padalinį,Wijzig eenheid,Zmień jednostkę,Alterar Unidade
1000000000018,Switch Store,Switch Store,Standort wechseln,Cambiar tienda,Cambiar tienda,Changer de magasin,Changer de magasin,Pakeisti parduotuvę,Ruil locatie,Zmień stację,Alternar loja
1000000000019,Help,Help,Hilfe,Ayuda,Ayuda,Aide,Aide,Pagalba,Help,Pomoc,Ajuda
1000000000020,About,About,Info,Acerca de,Acerca de,À propos,À propos,Apie,Info,Informacje,Sobre
1000000000021,Profile,Profile,Profil,Perfil,Perfil,Profil,Profil,Profilis,Profiel,Profil,Perfil
1000000000022,Logout,Logout,Abmelden,Cerrar sesión,Cerrar sesión,Se déconnecter,Se déconnecter,Atsijungti,Meld af,Wyloguj,Fazer Logout
1000000000023,My Store,My Store,Mein Standort,Mi tienda,Mi tienda,Mon magasin,Mon magasin,Mano parduotuvė,Mijn locatie,Moja stacja,Minha loja
1000000000024,Delegation,Delegation,Delegierung,Delegación,Delegación,Délégation,Délégation,Įgaliojimas,Delegatie,Delegacja,Delegação
1000000000025,Settings,Settings,Einstellungen,Configuración,Configuración,Paramètres,Paramètres,Nustatymai,Instellingen,Ustawienia,Configurações
1000000000026,Invalid URL,Invalid URL,Ungültige URL,URL no válida,URL no válido,URL non valide,URL non valide,Netinkamas URL,Ongeldige URL,Nieprawidłowy adres URL,URL inválido
1000000000027,Enter valid server URL,Enter valid server URL,Gültige Server-URL eingeben,Introduzca una URL de servidor válida,Ingresar una dirección URL de servidor válida,Entrer une URL de serveur valide,Entrer une URL de serveur valide,Įveskite tinkamą serverio URL,Voer geldige server-URL in,Wprowadź prawidłowy adres URL serwera,Insira um URL de servidor válido
1000000000028,RQS,RQS,RQS,RQS,RQS,RQS,RQS,RQS,RQS,RQS,RQS
1000000000029,Scheduled,Scheduled,Geplant,Programado,Programado,Planifié,Planifié,Suplanuota,Gepland,Zaplanowano,Programado
1000000000030,Budget,Budget,Budget,Presupuesto,Presupuesto,Budget,Budget,Biudžetas,Budget,Budżet,Orçamento
1000000000031,Efficiency,Efficiency,Effizienz,Eficiencia,Eficiencia,Efficacité,Efficacité,Efektyvumas,Efficiëntie,Wydajność,Eficiência
1000000000032,h,h,h,h,h,h,h,h,u,godz.,h
1000000000033,requested,requested,angefordert,solicitado,solicitado,demandé,demandé,prašymas pateiktas,aangevraagd,wymagane,Solicitado
1000000000034,requested for,requested for,Angefragt für,solicitado para,Solicitado para,demandé pour,demandé pour,prašoma,aangevraagd voor,wniosek o,solicitado para
1000000000035,Reason,Reason,Begründung,Motivo,Motivo,Motif,Motif,Priežastis,Reden,Powód,Motivo
1000000000036,Total,Total,Gesamt,Total,Total,Total,Total,Iš viso,Totaal,Suma,Total
1000000000037,Used,Used,Verwendet,Usado,Utilizado,Utilisé,Utilisé,Panaudota,Gebruikt,W użyciu,Utilizado
1000000000038,Balance,Balance,Saldo,Saldo,Saldo,Solde,Solde,Likutis,Saldo,Saldo,Saldo
1000000000039,Start,Start,Start,Empezar,Comenzar,Démarrer,Début,Pradėti,Start,Rozpoczęcie,Iniciar
1000000000040,End,End,Ende,Finalizar,Final,Fin,Fin,Pabaiga,Einde,Zakończenie,Encerrar
1000000000041,Duration,Duration,Dauer,Duración,Duración,Durée,Durée,Trukmė,Duur,Czas trwania,Duração
1000000000042,Total Days,Total Days,Tage insgesamt,Total de días,Total de días,Total des jours,Total des jours,Iš viso dienų,Totaalaantal dagen,Suma dni,Total de dias
1000000000043,Status,Status,Status,Estado,Estado,État,État,Būsena,Status,Stan,Status
1000000000044,Approved/Declined on,Approved/Declined on,Genehmigt/Abgelehnt am,Aprobado/rechazado el,Aprobado/rechazado el,Approuvé/refusé le,Approuvé/Refusé le,Patvirtinta / atmesta,Goedgekeurd/afgewezen op,Zatwierdzono/odrzucono,Aprovado/recusado em
1000000000045,Name,Name,Name,Nombre,Nombre,Nom,Nom,Vardas ir pavardė,Naam,Nazwa,Nome
1000000000046,Request,Request,Anfrage,Solicitud,Solicitud,Demande,Demande,prašymas,Aanvraag,Wniosek,Solicitação
1000000000047,Day,Day,Tag,Día,Día,journée,Journée,Diena,Dag,Dzień,Dia
1000000000048,Days,Days,Tage,Días,Días,Journées,Jours,Dienos,Dagen,Dni,Dias
1000000000049,No Data to Display,No Data to Display,Keine Daten anzuzeigen,No hay datos para mostrar,No hay datos para mostrar,Aucune donnée à afficher,Aucune donnée à afficher,Rodytinų duomenų nėra,Geen gegevens om weer te geven,Brak danych do wyświetlenia,Nenhum dado a ser exibido
1000000000050,Time Off,Time Off,Stundenweise Abwesenheit,Tiempo libre,Tiempo libre,Heures de congé,Temps libre,Laisvas laikas,Afwezigheid,Czas wolny,Folga
1000000000051,Availability,Availability,Verfügbarkeit,Disponibilidad,Disponibilidad,Disponibilité,Disponibilité,Užimtumas,Beschikbaarheid,Dostępność,Disponibilidade
1000000000052,Day Off,Day Off,Urlaubstag,Día libre,Día libre,Jour de congé,Jour de congé,Laisva diena,Vrije dag,Dzień wolny,Dia de folga
1000000000053,Date,Date,Datum,Fecha,Fecha,Date,Date,Data,Datum,Data,Data
1000000000054,Message,Message,Nachricht,Mensaje,Mensaje,Message,Message,Pranešimas,Bericht,Wiadomość,Mensagem
1000000000055,Clear,Clear,Leeren,Borrar,Borrar,Effacer,Effacer,Išvalyti,Wis,Wyczyść,Apagar
1000000000056,Save,Save,Speichern,Guardar,Guardar,Enregistrer,Enregistrer,Išsaugoti,Sla op,Zapisz,Salvar
1000000000057,Next,Next,Weiter,Siguiente,Siguiente,Suivant,Suivant,Kitas,Volgende,Następny,Próximo
1000000000058,No data to display,No data to display,Keine Daten zur Anzeige verfügbar,No hay datos para mostrar,No hay datos para mostrar,Aucune donnée à afficher,Aucune donnée à afficher,Rodytinų duomenų nėra,Geen gegevens om weer te geven,Brak danych do wyświetlenia,Nenhum dado a ser exibido
1000000000059,No exception management data is present for this week,No exception management data is present for this week,Keine Ausnahmenbearbeitungsdaten für diese Woche vorhanden,No hay datos de gestión de excepciones para esta semana,No hay datos de gestión de excepciones para esta semana.,Aucune donnée de gestion des exceptions cette semaine.,Aucune donnée de gestion par exception n'est présente pour cette semaine,Šią savaitę išimčių valdymo duomenų nėra,Er zijn voor deze week geen uitzonderingsmanagementgegevens aanwezig,Brak danych dotyczących zarządzania wyjątkami w tym tygodniu,Não há dados de gerenciamento de exceções nesta semana
1000000000060,No payroll release data is present for this week,No payroll release data is present for this week,Keine Gehaltsabrechnungs-Freigabedaten für diese Woche vorhanden,No hay datos de liberación de nómina para esta semana,No hay datos de liberación de nómina para esta semana.,Aucune donnée de traitement de paie pour cette semaine.,Aucune donnée de paiement présente pour cette semaine,Šios savaitės darbo užmokesčio išleidimo duomenų nėra,Er zijn voor deze week geen gegevens over het salarisadministratie beschikbaar,Brak danych dotyczących przekazania listy płac w tym tygodniu,Nenhum dado de liberação da folha de pagamento está presente para esta semana
1000000000061,No timecard data present for this week,No timecard data present for this week,Keine Stempelkartendaten für diese Woche vorhanden,No hay datos de hoja de horas para esta semana,No hay datos de tarjetas de registro para esta semana,Aucune donnée de fiche de présence pour cette semaine,Aucune donnée de feuille de présence présente pour cette semaine,Šios savaitės darbo laiko apskaitos kortelės duomenų nėra,Geen tijdkaartgegevens aanwezig voor deze week,Brak danych dotyczących karty czasu pracy w tym tygodniu,Nenhum dado de cartão de ponto presente para esta semana
1000000000062,No warning data present for this week,No warning data present for this week,Keine Warnungsdaten für diese Woche vorhanden,No hay datos de aviso para esta semana,No hay datos de advertencias para esta semana,Aucune donnée d’avertissement pour cette semaine,Aucune donnée d'avertissement présente pour cette semaine,Šią savaitę įspėjimų duomenų nėra,Geen waarschuwingsgegevens aanwezig voor deze week,Brak danych dotyczących ostrzeżeń w tym tygodniu,Nenhum dado de aviso presente para esta semana
1000000000063,No pay result data present for this week,No pay result data present for this week,Keine Lohnergebnisdaten für diese Woche vorhanden,No hay datos de resultados de pago para esta semana,No hay datos de resultados de pago para esta semana.,Aucune donnée de résultat de paie pour cette semaine,Aucune donnée de résultat de paie présente pour cette semaine,Šios savaitės darbo užmokesčio rezultatų duomenų nėra,Geen gegevens loonresultaten aanwezig voor deze week,Brak danych dotyczących wyników w zakresie wynagrodzenia w tym tygodniu,Nenhum dado de resultado de pagamento presente para esta semana
1000000000064,Audit information not present,Audit information not present,Keine Prüfungsdaten vorhanden,No hay datos de auditoría para esta semana,Información de auditoría no presente,Information de vérification non présente,Aucune information d'audit,Nėra audito informacijos,Auditinformatie niet aanwezig,Brak informacji o audycie,Informações de auditoria não presentes
1000000000065,No special pay data present for this week,No special pay data present for this week,Keine Sondervergütungsdaten für diese Woche vorhanden,No hay datos de pago especiales para esta semana,No hay datos de pagos especiales para esta semana.,Aucune donnée de paie spéciale pour cette semaine,Aucune donnée de paie spéciale présente pour cette semaine,Šią savaitę specialaus mokėjimo duomenų nėra,Geen gegevens speciaal loon aanwezig voor deze week,Brak danych dotyczących wynagrodzenia specjalnego w tym tygodniu,Não há dados especiais de pagamento para esta semana
1000000000066,No raw punches data present for this week,No raw punches data present for this week,Keine Daten unbearbeiteter Stempel für diese Woche vorhanden,No hay registros de horas brutos para esta semana,No hay datos de entradas sin procesar para esta semana.,Aucune donnée de pointage non ajusté pour cette semaine,Aucune donnée de pointage brut pour cette semaine,Šios savaitės neapdorotų laiko įrašų duomenų nėra,Geen ruwe ponsgegevens aanwezig voor deze week,Brak danych dotyczących nieprzetworzonych odbić w tym tygodniu,Não há dados de pontos não arredondados presentes para esta semana
1000000000067,No notes data present for this week,No notes data present for this week,Keine Anmerkungdaten für diese Woche vorhanden,No hay datos de notas presentes para esta semana,No hay datos de notas presentes para esta semana,Aucune donnée de remarques pour cette semaine,Aucune donnée de notes présente pour cette semaine,Šios savaitės pastabų duomenų nėra,Geen opmerkinggegevens aanwezig voor deze week,Brak danych dotyczących uwag w tym tygodniu,Não há dados de observações presentes para esta semana
1000000000068,Worked,Worked,Gearbeitet,Trabajado,Trabajado,Travaillé,Travaillé,Išdirbta,Gewerkt,Przepracowane,Trabalhou
1000000000069,Certification Name,Certification Name,Zertifizierungsname,Nombre de la certificación,Nombre de certificación,Nom de la certification,Nom de la certification,Sertifikato pavadinimas,Naam certificering,Nazwa certyfikacji,Nome da certificação
1000000000070,Effective Date,Effective Date,Wirksamkeitsdatum,Fecha de vigencia,Fecha de entrada en vigor,Date d’entrée en vigueur,Date d'entrée en vigueur,Įsigaliojimo data,Ingangsdatum,Data obowiązywania,Data efetiva
1000000000071,End Date,End Date,Enddatum,Fecha de finalización,Fecha de finalización,Date de fin,Date de fin,Pabaigos data,Einddatum,Data zakończenia,Data de término
1000000000072,Phone,Phone,Telefon,Teléfono,Teléfono,Téléphone,Téléphoner,Telefonas,Telefoon,Telefon,Telefone
1000000000073,Email,Email,E-Mail,Correo electrónico,Correo electrónico,Courriel,E-mail,El. paštas,E-mail,Adres e-mail,E-mail
1000000000074,Home Department,Home Department,Heimat-Abteilung,Departamento local,Departamento local,Service d’attache,Département principal,Vietinis skyrius,Gebruikelijke afdeling,Dział macierzysty,Departamento de origem
1000000000075,Staff Group,Staff Group,Personalgruppe,Grupo de personal,Grupo de personal,Groupe d’employés,Groupe d'employés,Darbuotojų grupė,Medewerkersgroep,Grupa personelu,Grupo de atendimento
1000000000076,Hours/Days,Hours/Days,Stunden/Tage,Horas/Días,Horas/días,Heures/jours,Heures/Jours,Valandos /dienos,Uren/dagen,Godz./dni,Horas/Dias
1000000000077,Hours/Week,Hours/Week,Stunden/Woche,Horas/semana,Horas/semana,Heures/semaine,Heures/Semaine,Valandos per savaitę,Uren/week,Godz./tydzień,Horas/semana
1000000000078,Max Days,Max Days,Max. Tage,Días máximos,Máximo de días,Jours maximums,Jours max,Maks. dienų,Max. dagen,Maks. liczba dni,Máx. de dias
1000000000079,Type,Type,Typ,Tipo,Tipo,Type,Type,Tipas,Type,Typ,Tipo
1000000000080,Date of Hire,Date of Hire,Einstellungsdatum,Fecha de contratación,Fecha de contratación,Date d’embauche,Date d'embauche,Įdarbinimo data,Datum indiensttreding,Data zatrudnienia,Data de contratação
1000000000081,Certifications,Certifications,Zertifizierungen,Certificaciones,Certificaciones,Certifications,Certifications,Sertifikatai,Certificeringen,Certyfikacje,Certificações
1000000000082,Alerts,Alerts,Hinweise,Alertas,Alertas,Alertes,Alertes,Įspėjimai,Meldingen,Alerty,Alertas
1000000000083,Event,Event,Ereignis,Evento,Evento,Événement,Événement,Įvykis,Gebeurtenis,Wydarzenie,Evento
1000000000084,Delete,Delete,Löschen,Eliminar,Eliminar,Supprimer,Supprimer,Ištrinti,Verwijderen,Usuń,Excluir
1000000000085,Decline,Decline,Ablehnen,Rechazar,Rechazar,Refuser,Refuser,Atmesti,Wijs af,Odrzuć,Recusar
1000000000086,Unassign,Unassign,Zuweisung aufheben,Anular asignación,Anular asignación,Annuler l’attribution,Annuler l'attribution,Atšaukti,Maak toewijzing ongedaan,Cofnij przypisanie,Remover atribuição
1000000000087,Approve,Approve,Genehmigen,Aprobar,Aprobar,Approuver,Approuver,Patvirtinti,Keur goed,Zatwierdź,Aprovar
1000000000088,Comment,Comment,Kommentar,Comentario,Comentario,Commentaire,Commentaire,Komentaras,Opmerking,Komentarz,Comentário
1000000000089,Requested by,Requested by,Angefragt von,Solicitado por,Solicitado por,Demandé par,Demandé par,Prašymą pateikė,Aangevraagd door,Zawnioskowane przez,Solicitado por
1000000000090,Requested on,Requested on,Angefordert am,Solicitado el,Solicitado el,Demandé le,Demandé le,Prašymas pateiktas,Aangevraagd op,Zawnioskowano dnia,Solicitado em
1000000000091,Approved/Declined by,Approved/Declined by,Genehmigt/Abgelehnt von,Aprobado/rechazado por,Aprobado/rechazado por,Approuvé/refusé par,Approuvé/Refusé par,Patvirtino / atmetė,Goedgekeurd/afgewezen door,Zatwierdzony/odrzucony przez,Aprovado/recusado por
1000000000092,Details,Details,Details,Detalles,Detalles,Détails,Détails,Informacija,Details,Szczegóły,Detalhes
1000000000093,Add Notes,Add Notes,Anmerkungen hinzufügen,Añadir notas,Agregar notas,Ajouter des remarques,Ajouter des notes,Pridėti pastabas,Voeg opmerkingen toe,Dodaj uwagi,Adicionar observações
